[Nodes]
体育馆,308,276
荟萃广场,荟萃苑餐厅-西北,97.1236,319 451,291 544
荟萃苑餐厅-西北,13号学生公寓,146.003,291 544,145 543
荟萃苑餐厅-西北,14号学生公寓-东,44.911,291 544,282 588
14号学生公寓,14号学生公寓-东,147.031,135 585,282 588
荟萃苑餐厅-西,14号学生公寓-东,105.721,263 692,282 588
19号学生公寓-东南,特种实验楼,135.004,503 798,368 797
19号学生公寓-东南,3号学生公寓,107.019,503 798,505 691
19号学生公寓-东南,逸夫楼-北,66.0076,503 798,502 864
特种实验楼,工科楼A座,97.0155,368 797,392 891
研究生公寓,工科楼E座-东北,220.057,873 723,868 943
11号学生公寓,荟萃广场,150.615,170 429,319 451
10号学生公寓-东北,玉兰苑餐厅,39.0512,330 344,369 342
体育馆,10号学生公寓-东北,71.4703,308 276,330 344
校医院,10号学生公寓-东北,138.058,192 340,330 344
10号学生公寓-东北,荟萃广场,107.564,330 344,319 451
5号学生公寓,6号学生公寓,53.0377,367 513,365 566
6号学生公寓,7号学生公寓,28.0713,365 566,367 594
荟萃苑餐厅-西北,6号学生公寓,77.201,291 544,365 566
6号学生公寓,14号学生公寓-东,85.8662,365 566,282 588
3号学生公寓,19号学生公寓-东南,107.019,505 691,503 798
19号学生公寓-东南,逸夫楼-北,66.0076,503 798,502 864
西北门,北门,493.705,406 100,895 168
北门,国际交流中心,156.984,895 168,1007 278
